Area,Category - Split 1,Name,Price,Hidden Gem,Star,Stars count,Address,Latitude,Longitude
Denny Triangle,American,2120,$$$,Other,4,421,"2120 6th Ave, Seattle, WA 98121",47.61584122,-122.3402554
,Bars,13 Coins Restaurant,$$,Other,3.5,1533,"18000 International Blvd, SeaTac, WA 98188",47.4427253,-122.2940798
,Chinese,151 Days,$$,Hidden Gem,4.5,36,"2720 152nd Ave NE, Unit 150, Redmond, WA 98052",47.6347323,-122.1373267
Fremont,Taiwanese,19 GOLD,$$,Other,4.5,531,"3601 Fremont Ave N, Ste 101, Seattle, WA 98103",47.6515266,-122.350467
,Thai,2C Thai Bistro & Spirits,$$,Other,4.5,328,"12506 Lake City Way NE, Seattle, WA 98125",47.71969098,-122.2948452
,Mexican,3 T’s & MORE Mexican Restaurant,n/a,Hidden Gem,5,36,,,
,American,47 North Bar + Bistro,n/a,Other,4,12,"10777 NE 10th St., Bellevue, WA 98004",47.6189092,-122.1966836
,Bars,520 Bar & Grill,$$,Other,3.5,474,,,
Pioneer Square,Italian,84 Yesler,n/a,Hidden Gem,5,43,"84 Yesler Way, Seattle, WA 98104",47.6019868,-122.3351801
,Izakaya,8ight,$$,Other,3.5,115,"33320 Pacific Hwy S, Ste 101, Federal Way, WA 98003",,
,Korean,9 Delicacies,$$,Other,4.5,275,"520 128th St SW, Ste B8, Everett, WA 98204",47.8808361,-122.2416641
,American,913 - The Place Next Door,$$,Hidden Gem,4.5,42,"913 SW 152nd St, Burien, WA 98166",47.4666352,-122.3465097
Chinatown,Cantonese,A + Hong Kong Kitchen,$$,Other,4,596,"419 6th Ave S, Seattle, WA 98104",47.5985339,-122.3265513
,Hawaiian,A Bit of Aloha,n/a,Other,3,16,"11852 98th Ave NE, Kirkland, WA 98034",47.707175,-122.2100589
,Burgers,A Burger Place,$,Other,4,69,,,
,Cafes,A Spoonful Of Sugar Cafe,$,Hidden Gem,4.5,78,,,
Chinatown,Hong Kong Style Cafe,A+ Hong Kong Restaurant,n/a,Hidden Gem,4.5,28,"667 S King St, Seattle, WA 98104",47.5981815,-122.3242457
Broadview,Beer Bar,A1 Hop Shop 144th,$,Hidden Gem,5,19,"14401 Greenwood Ave N, Seattle, WA 98133",,
,Sushi Bars,aa Sushi,$$,Other,4,365,"9730 NE 119th Way, Kirkland, WA 98034",47.7070102,-122.2118139
